name,league,age,height,position,erfolge,caps,goalsCap,follower,club,contractYear,country,appearances,goals_nilnilgames,assists_conceded,minuted,price
Jens Petter Hauge,3,22,1.84,3,0.5780590717299579,23.053409214495208,0.0,31.416353117991978,1,0.5397260273972603,1,23.620685673119855,23.620685673119855,23.620685673119855,594.0,9.5
Thomas Mangani,4,34,1.83,2,0.5,0.0,0.0,23.170697585165264,1,0.5397260273972603,1,0.0,0.0,0.0,1.251,1.0
Ozan Tufan,0,26,1.82,2,0.5,43.9581034326861,24.15885792809679,33.65473333988782,1,0.5397260273972603,1,25.158857928096786,25.158857928096786,25.158857928096786,377.0,11.0
Timo Werner,0,25,1.8,3,0.8283607275067787,40.61686819661446,32.4313988254385,36.798410074427956,0,3.5424657534246577,1,42.04517495885186,42.04517495885186,42.04517495885186,687.0,55.0
Gerson,4,24,1.84,2,0.8686260004029907,16.886317030755073,0.0,36.85673026937217,1,4.542465753424658,2,31.4313988254385,31.4313988254385,31.4313988254385,2.289,20.0
Riccardo Sottil,2,22,1.8,3,0.5780590717299579,26.911599188328736,14.545081794683426,26.5649371324561,1,4.542465753424658,1,20.416603484017482,20.416603484017482,20.416603484017482,614.0,7.0
Hugo Duro,1,22,1.82,3,0.5,7.272540897341713,7.272540897341713,26.562398423767963,1,0.5397260273972603,1,16.886317030755073,16.886317030755073,16.886317030755073,819.0,5.0
Koray Günter,2,27,1.86,1,0.8686260004029907,14.545081794683426,0.0,24.662702521349274,1,1.5397260273972602,1,16.886317030755073,16.886317030755073,16.886317030755073,1.165,5.0
Ismaïla Sarr,0,23,1.85,3,0.5780590717299579,38.963016063220095,24.15885792809679,32.89498802250083,1,2.5424657534246577,4,34.58011382174281,34.58011382174281,34.58011382174281,1.032,27.0
Edoardo Vergani,2,20,1.86,3,0.8686260004029907,7.272540897341713,11.526704607247604,26.446668500240875,1,1.5397260273972602,1,-5.35961242350747,-5.35961242350747,-5.35961242350747,20.0,0.6
Aleksandar Sedlar,1,29,1.8,1,0.5780590717299579,11.526704607247604,0.0,20.495398631847355,1,1.5397260273972602,1,-7.272540897341713,-7.272540897341713,-7.272540897341713,318.0,0.5
Kylian Mbappé,4,22,1.78,3,0.9935485103919259,41.852654719084526,33.772634061510146,44.276949146092704,0,0.5397260273972603,1,53.24902151746364,53.24902151746364,53.24902151746364,1.755,160.0
Enric Franquesa,1,24,1.74,1,0.5,0.0,0.0,25.596171236217092,1,3.5424657534246577,1,-2.341235236071646,-2.341235236071646,-2.341235236071646,485.0,0.8
Alexis Flips,4,21,1.73,3,0.5,23.053409214495208,7.272540897341713,20.923731887360034,1,2.5424657534246577,1,0.0,0.0,0.0,585.0,1.0
Gonzalo Melero,1,27,1.83,2,0.5,14.545081794683426,0.0,24.64455029306275,1,1.5397260273972602,1,15.780868317153494,15.780868317153494,15.780868317153494,655.0,4.5
Stefano Sensi,2,26,1.68,2,0.5780590717299579,23.053409214495208,14.545081794683426,32.51310502668513,0,2.5424657534246577,1,24.15885792809679,24.15885792809679,24.15885792809679,147.0,10.0
Thiago Galhardo,1,32,1.86,3,0.5,0.0,0.0,27.262138538376693,1,0.5397260273972603,2,9.61377613341336,9.61377613341336,9.61377613341336,1.95,2.5
Andrés Guardado,1,35,1.69,2,0.9005790580220382,54.12911097016338,35.329865465574066,35.0665388763965,1,0.5397260273972603,2,4.25416370990589,4.25416370990589,4.25416370990589,931.0,1.5
Djené,1,29,1.78,1,0.5,43.9581034326861,0.0,26.217156119794225,1,1.5397260273972602,4,30.325950111836917,30.325950111836917,30.325950111836917,1.317,18.0
Irvin Cardona,4,24,1.85,3,0.5780590717299579,21.81762269202514,11.526704607247604,25.924176775303785,1,1.5397260273972602,1,20.416603484017482,20.416603484017482,20.416603484017482,726.0,7.0
Harry Maguire,0,28,1.94,1,0.5,39.2158489886068,20.416603484017482,37.01292926856079,0,3.5424657534246577,0,41.04517495885186,41.04517495885186,41.04517495885186,1.486,50.0
Marco Benassi,2,27,1.84,2,0.6524036289061143,0.0,0.0,28.641699089368984,1,2.5424657534246577,1,16.886317030755073,16.886317030755073,16.886317030755073,167.0,5.0
Emiliano Buendía,0,24,1.72,3,0.5,16.886317030755073,11.526704607247604,29.30779508074498,1,4.542465753424658,2,37.30292051477255,37.30292051477255,37.30292051477255,882.0,35.0
Jean Onana,4,21,1.89,2,0.5,14.545081794683426,0.0,22.766750397413137,1,4.542465753424658,4,9.61377613341336,9.61377613341336,9.61377613341336,835.0,2.5
Panagiotis Retsos,3,23,1.86,1,0.5780590717299579,18.799245504589315,0.0,26.4620494364378,1,0.5397260273972603,1,15.780868317153494,15.780868317153494,15.780868317153494,114.0,4.5
Luis Muriel,2,30,1.79,3,0.5,39.93972624525028,23.053409214495208,33.34001570437329,1,1.5397260273972602,2,35.68556253534439,35.68556253534439,35.68556253534439,448.0,30.0
Munir El Haddadi,1,26,1.75,3,0.9588340832218385,23.053409214495208,11.526704607247604,36.10971944265744,1,1.5397260273972602,4,24.15885792809679,24.15885792809679,24.15885792809679,439.0,10.0
Konrad Laimer,3,24,1.8,2,0.9444488157226086,30.893226570461565,11.526704607247604,26.59678474454423,1,1.5397260273972602,4,34.18414008567045,34.18414008567045,34.18414008567045,684.0,26.0
Bruno Fernandes,0,27,1.79,2,0.9444488157226086,38.963016063220095,20.416603484017482,38.65916006124197,0,3.5424657534246577,1,47.21226714259199,47.21226714259199,47.21226714259199,1.678,90.0
Nehuén Pérez,2,21,1.84,1,0.5,24.15885792809679,11.526704607247604,27.839523107135932,1,0.5397260273972603,2,14.545081794683426,14.545081794683426,14.545081794683426,294.0,4.0
Christian Pulisic,0,23,1.77,3,0.8686260004029907,39.46273234837491,30.325950111836917,37.94324608030555,0,2.5424657534246577,2,41.04517495885186,41.04517495885186,41.04517495885186,400.0,50.0
Andreaw Gravillon,4,23,1.88,1,0.6524036289061143,0.0,0.0,22.73636933496395,1,0.5397260273972603,2,18.799245504589315,18.799245504589315,18.799245504589315,1.336,6.0
Diadié Samassékou,3,25,1.77,2,0.8686260004029907,32.89778932708371,7.272540897341713,27.49808397845851,1,2.5424657534246577,4,27.689144381359196,27.689144381359196,27.689144381359196,672.0,14.0
Dennis Geiger,3,23,1.73,2,0.5,18.799245504589315,0.0,25.91347725236275,1,1.5397260273972602,1,24.15885792809679,24.15885792809679,24.15885792809679,788.0,10.0
Dayot Upamecano,3,23,1.86,1,0.9005790580220382,20.416603484017482,7.272540897341713,32.33276707795619,0,4.542465753424658,1,42.9581034326861,42.9581034326861,42.9581034326861,1.562,60.0
Joseph Aidoo,1,26,1.77,1,0.5780590717299579,25.158857928096786,0.0,25.007298068926946,1,2.5424657534246577,4,16.886317030755073,16.886317030755073,16.886317030755073,685.0,5.0
Patrick Osterhage,3,21,1.86,2,0.7199940750746285,14.545081794683426,0.0,23.18256270433523,1,2.5424657534246577,1,-16.886317030755073,-16.886317030755073,-16.886317030755073,8.0,0.2
Adam Lallana,0,33,1.72,2,0.8283607275067787,37.30292051477255,14.545081794683426,35.651454807858286,1,1.5397260273972602,0,14.545081794683426,14.545081794683426,14.545081794683426,1.065,4.0
Abdoulaye Kamara,3,17,1.82,2,0.5,0.0,0.0,32.22992994155808,0,0.5397260273972603,4,0.0,0.0,0.0,926.0,1.0
Mitchell van Bergen,4,22,1.7,3,0.5780590717299579,7.272540897341713,0.0,24.7985906261425,1,0.5397260273972603,1,9.185469371175955,9.185469371175955,9.185469371175955,638.0,2.4
Iago Aspas,1,34,1.76,3,0.5780590717299579,30.893226570461565,20.416603484017482,30.839273725469084,1,1.5397260273972602,1,23.053409214495208,23.053409214495208,23.053409214495208,1.248,9.0
Martín Montoya,1,30,1.75,1,0.9444488157226086,0.0,0.0,30.29079804467416,1,2.5424657534246577,1,7.272540897341713,7.272540897341713,7.272540897341713,788.0,2.0
Víctor Laguardia,1,32,1.83,1,0.5,7.272540897341713,0.0,24.402210629995185,1,0.5397260273972603,1,14.545081794683426,14.545081794683426,14.545081794683426,1.26,4.0
Arnaud Kalimuendo,4,19,1.75,3,0.7199940750746285,20.416603484017482,14.545081794683426,29.326253845915794,1,0.5397260273972603,1,24.15885792809679,24.15885792809679,24.15885792809679,828.0,10.0
Christopher Lenz,3,27,1.8,1,0.5,25.158857928096786,0.0,23.629670674364814,1,2.5424657534246577,1,16.886317030755073,16.886317030755073,16.886317030755073,404.0,5.0
Ollie Watkins,0,25,1.8,3,0.5,18.799245504589315,7.272540897341713,29.30779508074498,1,3.5424657534246577,0,36.362704486708566,36.362704486708566,36.362704486708566,1.091,32.0
Todd Cantwell,0,23,1.8,2,0.5,16.886317030755073,0.0,26.42223634569669,1,0.5397260273972603,0,32.4313988254385,32.4313988254385,32.4313988254385,539.0,22.0
Lewis Baker,0,26,1.82,2,0.8283607275067787,30.325950111836917,23.053409214495208,35.40718973068328,0,0.5397260273972603,0,13.144062586675771,13.144062586675771,13.144062586675771,990.0,3.5
Aaron Connolly,0,21,1.75,3,0.5,23.053409214495208,0.0,26.78651450651801,1,2.5424657534246577,1,20.416603484017482,20.416603484017482,20.416603484017482,259.0,7.0
José Macías,1,22,1.78,3,0.6524036289061143,16.886317030755073,7.272540897341713,31.79484216648494,1,0.5397260273972603,2,24.15885792809679,24.15885792809679,24.15885792809679,221.0,10.0
